EventId;ProcessId;EventType;Severity;EventDescription;KB_URL
CHASSISD_FCHIP_CONFIG_MD_ERROR;CHASSISD;Initialization error;3;The chassis process (chassisd) detected an invalid number of Md chips for the indicated F chip, Packet Forwarding Engine and Flexible PIC Concentrator (FPC).;KB18795
CHASSISD_FCHIP_HSR_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected an error in the high-speed receiver (HSR) subsystem for the F chip with the indicated characteristics.;KB18796
CHASSISD_FCHIP_HST_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected an error in the high-speed transmitter (HST) subsystem for the F chip with the indicated characteristics.;KB18797
CHASSISD_FCHIP_LINK_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected an error for the indicated high-speed receiver (HSR) or high-speed transmitter (HST) link for an F chip on the indicated Switch Interface Board (SIB).;KB18798
CHASSISD_FCHIP_MONITOR_ERROR;CHASSISD;Initialization error;3;The chassis process (chassisd) detected an invalid F-chip module while enabling or disabling the monitoring of F-chip functional blocks.;KB18799
CHASSISD_FCHIP_PIO_READ_ERROR;CHASSISD;ASIC Error;3;The indicated routine failed with a read error at the indicated address and register for the indicated F chip and link.;KB18800
CHASSISD_FCHIP_PIO_WRITE_ERROR;CHASSISD;ASIC Error;3;The indicated routine failed with a write error at the indicated address and register for the indicated F chip and link.;KB18801
CHASSISD_FEB_SWITCHOVER;CHASSISD;Hardware Change;3;The chassis daemon (chassisd) switched to the indicated FEB from the specified FEB.;KB21896
CHASSISD_FHSR_READ_REG_ERROR;CHASSISD;ASIC Error;3;The high-speed receiver (HSR) read routine failed at the indicated address on an F-chip register.;KB18802
CHASSISD_FHSR_WRITE_REG_ERROR;CHASSISD;ASIC Error;3;The high-speed receiver (HSR) write routine could not record the indicated value at the indicated address on an F-chip register.;KB18803
CHASSISD_FHST_READ_REG_ERROR;CHASSISD;ASIC Error;3;The high-speed transmitter (HST) read routine failed at the indicated address on an F-chip register.;KB18804
CHASSISD_FHST_WRITE_REG_ERROR;CHASSISD;ASIC Error;3;The high-speed transmitter (HST) write routine could not record the indicated value at the indicated address on an F-chip register.;KB18805
CHASSISD_FILE_OPEN;CHASSISD;Initialization Error;3;The chassis process (chassisd) could not open the indicated file for the indicated reason.;KB18806
CHASSISD_FM_ERROR;CHASSISD;ASIC Error;3;During execution of the indicated fabric management routine, the indicated error occurred between the indicated Switch Interface Board (SIB) and the indicated Packet Forwarding Engine on the indicated Flexible PIC Concentrator (FPC).;KB18807
CHASSISD_FM_ERROR_F13_FB_HSR_TXP;CHASSISD;Media Error;3;In a Tx-Plus routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the T1600 routing nodes (called ST-SIB-Ls) and the SIBs in the TX Matrix Plus platform (called F13SIBs and F2S-SIBs). The chassis process (chassisd) on the routing node that houses the indicated F13SIB detected an error in the electrical path between the indicated ports on the F13SIB and the indicated ST-SIB-L on the indicated LCC.;KB23915
CHASSISD_FM_ERROR_F13_FB_RX_VC;CHASSISD;Media Error;3;In a Tx-Plus routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the T1600 routing nodes (called ST-SIB-Ls) and the SIBs in the TX Matrix Plus platform (called F13SIBs and F2S-SIBs). The chassis process (chassisd) on the routing node that houses the indicated F13SIB detected the indicated error as packets that were traveling in the in the optical media from the indicated ST-SIB-L on the indicated LCC.;KB23918
CHASSISD_FM_ERROR_F13_FB_TX_VC;CHASSISD;Hardware Error;2;In a Tx-Plus routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the T1600 routing nodes (called ST-SIB-Ls) and the SIBs in the TX Matrix Plus platform (called F13SIBs and F2S-SIBs). The chassis process (chassisd) on the routing node that houses the indicated F13SIB detected the indicated error as packets that were traveling in the indicated direction were translated between electrical and optical media.;KB24758
CHASSISD_FM_ERROR_SIB_L_FB_HSR;CHASSISD;ASIC Error;3;In a routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the T640 routing nodes (called SIB-Ls) and the SIBs in the TX Matrix platform (called SIB-Ss). The chassis process (chassisd) on the routing node that houses the indicated SIB-L detected an error in the electrical path between the indicated ports on the SIB-L and the corresponding SIB-S.;KB18808
CHASSISD_FM_ERROR_SIB_L_FB_SMF;CHASSISD;ASIC Error;3;In a routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the TX Matrix platform (the switch-card chassis, or SCC) and the SIBs in the T640 routing nodes (called SIB-Ls). The chassis process (chassisd) on the routing node that houses the indicated SIB-L detected the indicated error as packets that were traveling in the indicated direction were translated between electrical and optical media.;KB18809
CHASSISD_FM_ERROR_SIB_S_FB_HSR;CHASSISD;ASIC Error;3;In a routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the TX Matrix platform (called SIB-Ss) and the SIBs in the T640 routing nodes (called SIB-Ls). The chassis process (chassisd) on the TX Matrix platform detected an error in the electrical path between the indicated port on the indicated SIB-S and the indicated port on a SIB-L installed in the indicated routing node (line-card chassis, or LCC).;KB18810
CHASSISD_FM_ERROR_SIB_S_FB_SMF;CHASSISD;ASIC Error;3;In a routing matrix, packets traverse both electrical and optical media as they travel between the Switch Interface Boards (SIBs) in the TX Matrix platform (called SIB-Ss) and the SIBs in the T640 routing nodes (line-card chassis, or LCCs). The chassis process (chassisd) on the TX Matrix platform detected the indicated error as packets that were traveling to or from the indicated LCC were translated between electrical and optical media.;KB18811
CHASSISD_FM_SIB_ERROR;CHASSISD;ASIC Error;3;The chassis process (chassisd) detected the indicated type of error on the indicated Switch Interface Board (SIB) and performed the indicated action.;KB18812
CHASSISD_FPC_PIC_DETECT_TIMEOUT;CHASSISD;Initialization error;3;The chassis process (chassisd) expects to receive notification within a timeout period that each Flexible PIC Concentrator (FPC) has attached the Physical Interface Cards (PICs) that it houses. It did not receive notification from the indicated FPC.;KB18813
CHASSISD_FRU_INVALID_SLOT;CHASSISD;Invalid slot;2;The chassis process (chassisd) detected that the indicated hardware component (field-replaceable unit, or FRU) was inserted in a slot that is not valid for that component type.;KB18814
CHASSISD_FRU_IO_ERROR;CHASSISD;Hardware Change;3;The chassis process (chassisd) could not perform the indicated I/O operation on the indicated component (field-replaceable unit, or FRU).;KB21941
CHASSISD_FRU_OFFLINE_NOTICE;CHASSISD;Hardware Change;3;The chassis process (chassisd) took the indicated component (field-replaceable unit, or FRU) offline for the indicated reason.;KB21943
CHASSISD_GBUS_NOT_READY;CHASSISD;Initialization error;3;The GBUS was not ready when the chassis process (chassisd) first tried to power it on, and the power-up operation timed out.;KB18815
CHASSISD_GBUS_READBACK_ERROR;CHASSISD;Read error;3;There was an error when the chassis process (chassisd) tried to read back information from the GBUS on the indicated component (field-replaceable unit, or FRU).;KB18816
CHASSISD_HSR_FIFO_ERROR;CHASSISD;ASIC Error;3;A first in, first out (FIFO) read error occurred during execution of the indicated routine on the indicated high-speed receiver (HSR).;KB18817
CHASSISD_HWDB_ERROR;CHASSISD;Software Failure;3;The operation performed on the hardware database was unsuccessful.;KB22054
CHASSISD_I2C_BAD_IDEEPROM_FORMAT;CHASSISD;Initialization  error;3;The chassis process (chassisd) determined that the ID EEPROM format specified for the indicated type of hardware component (field-replaceable unit, or FRU) is not valid for it.;KB18818
CHASSISD_I2C_READ_ERROR;CHASSISD;Read error;3;The chassis process (chassisd) could not read I2C data from the indicated device.;KB18819
CHASSISD_I2CS_READBACK_ERROR;CHASSISD;Read error;3;The chassis process (chassisd) could not read back information from the I2C slave (I2CS) about the indicated component (field-replaceable unit, or FRU).;KB18820
CHASSISD_IFDEV_DETACH_FPC;CHASSISD;Component Failure;3;The chassis process (chassisd) detached the interface devices for all Physical Interface Cards (PICs) installed in the indicated Flexible PIC Concentrator (FPC).;KB18821
CHASSISD_IFDEV_DETACH_PIC;CHASSISD;Component Failure;3;The chassis process (chassisd) detached the interface devices for the indicated Physical Interface Card (PIC).;KB18822
CHASSISD_IPC_CONNECTION_DROPPED;CHASSISD;Communication error;2;The chassis process (chassisd) dropped its interprocess communication (IPC) connection to the indicated component (field-replaceable unit, or FRU).;KB18823
CHASSISD_IPC_DAEMON_WRITE_ERROR;CHASSISD;Write error;3;The chassis process (chassisd) could not write to a socket, because of the indicated error. The socket is for a connection to another process that runs on the Routing Engine and helps manage the chassis.;KB18824
CHASSISD_IPC_MSG_DROPPED;CHASSISD;Capacity Exceeded;3;The chassis process (chassisd) dropped an interprocess communication (IPC) message because the message queue had already reached maximum capacity.;KB18825
CHASSISD_IPC_MSG_UNHANDLED;CHASSISD;Interprocess Message Error;3;The chassis process (chassisd) received an interprocess communication (IPC) message about the indicated FRU. The message had the indicated characteristics. The chassisd process could not handle the message.;KB18826
CHASSISD_IPC_WRITE_ERR_NULL_ARGS;CHASSISD;Write error;3;The chassis process (chassisd) could not send a message to the indicated component (field-replaceable unit, or FRU) because one or more required parameters had a null value.;KB18827
CHASSISD_ISSU_ERROR;CHASSISD;Upgrade error;3;The chassisd process (chassisd) encountered an error during the In Service Software Upgrade Process.;KB21947
CHASSISD_MAC_ADDRESS_ERROR;CHASSISD;FPC Error;3;The chassis process (chassisd) could not obtain a media access control (MAC) address for the indicated interface because of an internal error.;KB18828
CHASSISD_MAC_ADDRESS_FABRIC_ERR;CHASSISD;Initialization error;3;The chassis process (chassisd) could not obtain a media access control (MAC) address for the indicated fabric interface because of an internal error.;KB18829
CHASSISD_MALLOC_FAILURE;CHASSISD;Memory Allocation Error;3;The chassis process (chassisd) could not allocate memory. The chassisd process tried to continue functioning, but the lack of memory usually causes the process to fail. An administrator needs to restart it at some point.;KB18830
CHASSISD_MBE_DETECTED;CHASSISD;Parity Error;3;A multi-bit ECC parity error was detected in Routing Engine DRAM.;KB18831
CHASSISD_OVER_TEMP_CONDITION;CHASSISD;Environmental problem;2;The temperature of one or more components (field-replaceable units, or FRUs) exceeded the indicated temperature, which is the upper of two thresholds. The fans (and impellers, if applicable) were in the indicated state. If the temperature does not go below the threshold within four minutes after the chassis process (chassisd) detects this condition, the chassisd process shuts down the routing platform. When this message was logged, the indicated number of seconds remained before shutdown.;KB18832
CHASSISD_OVER_TEMP_SHUTDOWN_TIME;CHASSISD;Environmental problem;2;The chassis process (chassisd) shut down the routing platform because the temperature of one or more components exceeded the indicated threshold temperature for the indicated amount of time. Continued operation at the excessive temperature could damage the routing platform.;KB18833
CHASSISD_PEM_INPUT_BAD;CHASSISD;Power Module Error;3;The chassis process (chassisd) detected the indicated error condition for the indicated power entry module (PEM).;KB26140
CHASSISD_PEM_OVERLOAD;CHASSISD;Power Voltage Overload;3;The indicated power entry module (PEM) reported an output voltage overload condition.;KB18834
CHASSISD_PEM_TEMPERATURE;CHASSISD;Hardware Change;3;The chassis process (chassisd) detected that the 'temperature check bit' was set in the status bit mask for the indicated power entry module (PEM).;KB21948
CHASSISD_PEM_VOLTAGE;CHASSISD;Power Voltage Overload;3;The indicated power entry module (PEM) reported a problem with its output voltage.;KB18835
CHASSISD_PIC_HWERROR;CHASSISD;PIC error;2;The indicated Physical Interface Card (PIC) experienced a hardware error. The chassis process (chassisd) did not bring the PIC online.;KB18836
CHASSISD_POWER_CHECK;CHASSISD;FRU error;3;The chassis process (chassisd) could not power up the indicated component (field-replaceable unit, or FRU), because the FRU did not respond.;KB18837
CHASSISD_PSU_ERROR;CHASSISD;Component Failure;3;The chassis process (chassisd) detected the indicated error condition for the indicated power supply unit (PSU).;KB18838
CHASSISD_PSU_FAN_FAIL;CHASSISD;Component Failure;2;PSU Fan fail bit is set in the status for the indicated power supply unit (PSU);KB18839
CHASSISD_PSU_INPUT_BAD;CHASSISD;Component Failure;3;The chassis process (chassisd) detected the input voltage/warning fault condition for the indicated power supply unit (PSU).;KB18840
CHASSISD_PSU_OVERLOAD;CHASSISD;Power Voltage Overload;3;The indicated power supply unit (PSU) reported an output voltage overload condition.;KB18841
CHASSISD_PSU_TEMPERATURE;CHASSISD;Environmental problem;3;The chassis process (chassisd) detected that the 'temperature check bit' was set in the status bit mask for the indicated power supply unit (PSU).;KB18842
CHASSISD_PSU_VOLTAGE;CHASSISD;Power Voltage Overload;4;The indicated power supply unit (PSU) reported a problem with its output voltage.;KB18843
CHASSISD_RE_OVER_TEMP_CONDITION;CHASSISD;Environmental problem;2;The temperature of the indicated Routing Engine exceeded the indicated temperature, which is the upper of two thresholds.;KB18844
CHASSISD_RE_OVER_TEMP_SHUTDOWN;CHASSISD;Environmental problem;2;The chassis process (chassisd) performed the indicated action because the temperature of the indicated Routing Engine exceeded the maximum threshold for more than four minutes. Continued operation at the excessive temperature could damage routing platform components.;KB18845
CHASSISD_RE_OVER_TEMP_WARNING;CHASSISD;Environmental problem;2;The temperature of the indicated Routing Engine exceeded the indicated temperature, which is the upper of two thresholds. If the temperature does not go below the threshold within four minutes after the chassis process (chassisd) detects this condition, the chassisd process shuts down the indicated component. When this message was logged, the indicated number of seconds remained before shutdown.;KB18846
CHASSISD_SBE_DETECTED;CHASSISD;Parity Error;3;Too many single-bit correctable ECC parity errors detected in Routing Engine DRAM.;KB18847
CHASSISD_SHUTDOWN_NOTICE;CHASSISD;Software Failure;3;Although the chassis process (chassisd) normally does not exit or shut down except when the Routing Engine reboots, it shut down for the indicated reason.;KB21952
CHASSISD_SIB_INVALID_SLOT;CHASSISD;Initialization failure;3;The chassis process (chassisd) detected the presence of Switch Interface Board (SIB) in invalid slot. The SIB remains offline.;KB18848
CHASSISD_SMB_INVALID_PS;CHASSISD;Status error;3;The chassis process (chassisd) could not set the status (enabled or disabled) for a power supply, because it received the indicated power supply status code, which is invalid.;KB18849
CHASSISD_SMB_IOCTL_FAILURE;CHASSISD;I/O Error;3;The indicated ioctl() operation failed at the indicated address on the system management bus (SMB).;KB18850
CHASSISD_SMB_READ_FAILURE;CHASSISD;Read Error;3;A read() operation failed at the indicated address on the system management bus (SMB).;KB18851
CHASSISD_TEMP_SENSOR_FAILURE;CHASSISD;Component Failure;3;The temperature sensor for the indicated component (field-replaceable unit, or FRU) either did not respond to a request from the chassis process (chassisd) for a temperature reading or sent a value that is outside the normal operating range.;KB18852
CHASSISD_TIMER_VAL_ERR;CHASSISD;Timeout Error;3;The chassis process (chassisd) started a timer to track the timeout period for an event. The timer returned a null identifier, so the chassisd process could not clear the timer.;KB18853
CHASSISD_UNEXPECTED_EXIT;CHASSISD;Unexpected Exit;3;The chassis process (chassisd) exited unexpectedly and reported the indicated error.;KB18854
CHASSISD_VOLTAGE_READ_FAILED;CHASSISD;Read error;3;The chassis process (chassisd) could not read voltage data from the indicated component (field-replaceable unit, or FRU).;KB18855
CHASSISD_VOLTAGE_SENSOR_INIT;CHASSISD;Initialization error;3;The chassis process (chassisd) could not initialize the voltage sensor for the indicated component (field-replaceable unit, for FRU).;KB18856
CONNECTION_CHASSISD_FAIL;ALARMD;Initialization failure;2;The alarm process (alarmd) was unable to connect to the chassis process (chassisd).;KB18857
CONNECTION_CRAFTD_FAIL;ALARMD;Initialization error;3;The alarm process (alarmd) was unable to connect to the craft process (craftd).;KB18858
CONNECTION_RTLOGD_FAIL;ALARMD;Initialization error;3;The alarm process (alarmd) was unable to connect to the PFE system log module process (rtlogd).;KB18859
CONNECTION_SEND_ERROR;ALARMD;Process error;3;The alarm process (alarmd) received an error while it was trying to send a message.;KB18860
COSD_GENCFG_WRITE_FAILED;COSD;Write Error;4;COSD uses GENCFG to read/write data from kernel. If the write fails kernel returns an error.;KB18861
COSD_MALLOC_FAILED;COSD;Memory Allocation Error;3;The class-of-service (CoS) process (cosd) could not dynamically allocate memory, for the indicated reason.;KB18862
COSD_RTSOCK_LIB_ERR;COSD;I/O error;3;COSD uses rtsock library for reading and writing data from and to kernel. The specified error occured while using rtsock library to read/write data.;KB18863
COSD_RTSOCK_WRITE_FAILED;COSD;Write error;3;COSD uses rtsock to read/write data from kernel. If the write fails kernel returns an error.;KB18864
COSD_UNEXPECTED_EXIT;COSD;Unexpected Exit;3;COSD waits for the event notifications and processes the events that it is registered for. There was an error while event handling initialization.;KB18865
COSD_UNKNOWN_TRANSLATION_TABLE;COSD;Process Error;3;The class-of-service (CoS) process (cosd) did not recognize the indicated translation table type from the rtsock library.;KB18866
DCD_CONFIG_WRITE_FAILED;DCD;Memory error;3;DCD encountered an error while trying to send an interface configuration to the kernel over the routing socket.;KB18868
DCD_GET_ERROR;DCD;Load Interface Failure;3;DCD encountered an error while trying to load the kernel interface configuration over the routing socket.;KB18869
DCD_PARSE_STATE_EMERGENCY;DCD;Unhandled State Error;3;The interface process (dcd) encountered an unhandled internal state during interface parsing.;KB18870
DCD_RTSOCK_READ_SYNC_NOBUF;DCD;Memory error;3;DCD communicates with the kernel by writing messages to and reading messages from routing sockets. DCD could not allocate memory to use to read messages from the kernel.;KB18871
DCD_RTSOCK_SEND_NOBUF;DCD;Memory error;3;If the routing engine is busy or operating under a heavy load, messages between DCD and the kernel might be dropped. To detect whether messages have been dropped, DCD and the kernel place sequence numbers in messages. DCD detected that a message was dropped. In an attempt to recover, DCD retries the operation.;KB18872
DCD_TRASHED_RED_ZONE;DCD;Memory Error;3;When DCD is allocating heap memory, it uses a private memory allocator that writes a special pattern at the end of each allocated segment of heap memory. Later, when de-allocating this memory, DCD checks for the pattern. If it does not find the previously written pattern, it means the memory was overwritten, which indicates a wild-write in DCD.;KB18873
DFCD_GENCFG_MALLOC_FAILED;DFCD;Memory Allocation Error;3;The dynamic flow capture process (dfcd) could not allocate memory for gencfg message.;KB18874
DFCD_GENCFG_WRITE_FAILED;DFCD;Write error;3;The dynamic flow capture process (dfcd) could not send gencfg message, for the indicated reason.;KB18875
DFCD_LINH_MALLOC_FAILED;DFCD;Memory Allocation Error;3;The dynamic flow capture process (dfcd) could not allocate memory for linh message.;KB18876
DFWD_CONFIG_WRITE_FAILED;DFWD;Communication Error;4;DFWD encountered an error while trying to send an interface configuration to the kernel over the routing socket.;KB18877
DFWD_MALLOC_FAILED;DFWD;Memory Error;3;DFWD must dynamically malloc memory for its needs. This allocation request failed. The specific data structure that was being allocated is listed in the message.;KB18878
DFWD_PARSE_STATE_EMERGENCY;DFWD;Unhandled State;3;The firewall process (dfwd) encountered an unhandled internal state while parsing an interface.;KB18879
DFWD_TRASHED_RED_ZONE;DFWD;Memory Error;3;When DFWD is allocating heap memory, it uses a private memory allocator that writes a special pattern at the end of each allocated segment of heap memory. Later, when de-allocating this memory, DFWD checks for the pattern. If it does not find the previously written pattern, it means the memory was overwritten, which indicates a wild-write in DFWD.;KB18880
DH_SVC_LOGIN_FAILURE;DH;License error;3;The Dynamic Host Configuration Protocol (DHCP) services process (dhcp-service) could not log the client in with the indicated application and the indicated session ID on the indicated interface (interface name) due to the indicated failure (pre-authentication or post-authentication failure).;KB23108
DH_SVC_RTSOCK_OPEN_FAILURE;DHCPD;Initialization Error;3;The Dynamic Host Configuration Protocol (DHCP) services process (dhcp-service) could not successfully open a routing socket to the kernel. The error string accompanying this log entry indicates the specific error.;KB18881
DH_SVC_RTSOCK_REGISTER_FAILURE;DHCPD;Register Failure;3;The Dynamic Host Configuration Protocol (DHCP) services process (dhcp-service) could not successfully register a callback function with a routing socket. The error string accompanying this log entry indicates the specific error.;KB18882
DH_SVC_SETSOCKOPT_FAILURE;DHCPD;Socket Option Error;3;The Dynamic Host Configuration Protocol (DHCP) services process (dhcp-service) could not set the indicated socket option.;KB18883
DH_SVC_SOCKET_FAILURE;DHCPD;Socket Failure;3;The Dynamic Host Configuration Protocol (DHCP) services process (dhcp-service) could not create a socket.;KB18884
ESPTASK_PARSE_BAD_SWITCH;ESPTASK;Process error;2;This process terminated because of an invalid option.;KB18885
